Unnamed: 0,Владение1,Владение2,Удары по воротам1,Удары по воротам2,Удары в створ1,Удары в створ2,Удары мимо1,Удары мимо2,Фолы1,Фолы2,Угловые удары1,Угловые удары2,Штрафные удары1,Штрафные удары2,Вне игры1,Вне игры2,Команда1,Команда2,Голы1,Голы2,Результат
611,45,55,4,11,3,4,1,7,21,11,2,6,11,21,2,0,Лидс , Манчестер Юнайтед,0,0,0
612,70,30,18,9,11,4,7,5,14,9,11,4,9,14,2,1,Астон Вилла , Вест Бромвич,2,2,0
613,66,34,11,3,5,2,6,1,13,12,7,2,12,11,2,3,Лестер , Кристал Пэлас,2,1,1
614,30,70,3,18,3,9,0,9,9,13,0,10,12,9,1,5,Саутгемптон , Лестер,1,1,0
615,58,42,9,14,2,5,7,9,9,12,9,1,12,8,0,2,Астон Вилла , Эвертон,0,0,0
616,62,38,9,6,6,4,3,2,20,13,12,8,13,20,1,2,Саутгемптон , Кристал Пэлас,3,1,1
617,30,70,8,13,4,3,4,10,9,10,2,6,9,8,3,1,Кристал Пэлас , Манчестер Сити,0,2,2
618,42,58,13,7,5,2,8,5,17,6,2,9,6,15,0,1,Брайтон , Лидс,2,0,1
619,49,51,6,7,5,3,1,4,15,8,1,8,7,14,7,1,Челси , Фулхэм,2,0,1
620,48,52,10,10,3,5,7,5,10,13,3,6,11,10,2,2,Эвертон , Астон Вилла,1,2,2
621,39,61,4,15,1,5,3,10,10,9,3,7,9,10,1,1,Ньюкасл , Арсенал,0,2,2
622,65,35,17,4,11,1,6,3,8,9,6,6,8,7,3,0,Тоттенхэм , Шеффилд Юнайтед,4,0,1
623,43,57,9,16,4,10,5,6,17,11,5,6,10,16,1,2,Вест Бромвич , Вулверхэмптон,1,1,0
624,45,55,6,16,3,4,3,12,4,8,5,4,8,4,2,2,Бернли , Вест Хэм,1,2,2
625,53,47,11,13,3,8,8,5,10,12,6,4,10,9,1,1,Манчестер Юнайтед , Ливерпуль,2,4,2
626,68,32,16,10,9,6,7,4,12,9,9,6,9,11,2,1,Лестер , Ньюкасл,2,4,2
627,53,47,12,7,7,3,5,4,12,10,8,6,10,12,1,2,Лидс , Тоттенхэм,3,1,1
628,50,50,6,15,0,8,6,7,11,8,5,11,8,10,2,1,Шеффилд Юнайтед , Кристал Пэлас,0,2,2
629,49,51,10,9,4,5,6,4,12,10,6,2,10,12,1,5,Манчестер Сити , Челси,1,2,2
630,54,46,11,10,6,6,5,4,10,6,8,4,6,10,4,1,Ливерпуль , Саутгемптон,2,0,1
631,60,40,9,4,6,3,3,1,12,7,10,5,7,11,0,2,Вулверхэмптон , Брайтон,2,1,1
632,42,58,8,11,5,7,3,4,13,18,5,6,17,12,0,0,Астон Вилла , Манчестер Юнайтед,1,3,2
633,68,32,6,7,0,3,6,4,8,10,5,6,10,8,2,2,Вест Хэм , Эвертон,0,1,2
634,65,35,12,8,7,1,5,7,7,9,6,6,8,7,1,2,Арсенал , Вест Бромвич,3,1,1
635,68,32,14,11,3,5,11,6,11,10,8,4,8,11,4,1,Фулхэм , Бернли,0,2,2
636,53,47,4,6,1,3,3,3,9,12,3,4,12,9,3,0,Манчестер Юнайтед , Лестер,1,2,2
637,67,33,14,3,5,2,9,1,7,6,9,1,5,5,4,2,Челси , Арсенал,0,1,2
638,18,82,8,13,5,6,3,7,11,10,4,5,10,10,0,0,Ньюкасл , Манчестер Сити,3,4,2
639,49,51,12,11,4,6,8,5,10,10,6,8,10,10,2,6,Бернли , Лидс,0,4,2
640,47,53,9,7,7,3,2,4,9,15,6,5,14,9,3,1,Саутгемптон , Фулхэм,3,1,1
641,51,49,4,11,2,3,2,8,7,5,3,3,4,7,0,2,Брайтон , Вест Хэм,1,1,0
642,46,54,11,13,8,5,3,8,23,13,7,7,13,23,2,2,Кристал Пэлас , Астон Вилла,3,2,1
643,61,39,22,10,13,3,9,7,8,11,10,3,11,8,2,3,Тоттенхэм , Вулверхэмптон,2,0,1
644,24,76,8,16,3,6,5,10,7,14,9,13,14,7,3,2,Вест Бромвич , Ливерпуль,1,2,2
645,62,38,11,6,6,3,5,3,8,12,11,4,12,8,0,3,Эвертон , Шеффилд Юнайтед,0,1,2
646,51,49,14,13,3,7,11,6,10,12,4,5,12,9,2,1,Саутгемптон , Лидс,0,2,2
647,57,43,11,7,6,5,5,2,10,15,6,1,15,10,4,1,Манчестер Юнайтед , Фулхэм,1,1,0
648,62,38,10,6,6,4,4,2,13,11,5,3,11,13,3,1,Брайтон , Манчестер Сити,3,2,1
649,58,42,11,6,6,3,5,3,15,16,6,5,15,14,1,0,Челси , Лестер,2,1,1
650,50,50,14,10,5,1,9,9,7,7,5,2,7,6,2,4,Ньюкасл , Шеффилд Юнайтед,1,0,1
651,60,40,6,13,4,4,2,9,14,13,4,5,13,14,2,3,Тоттенхэм , Астон Вилла,1,2,2
652,41,59,8,5,4,3,4,2,11,11,7,12,11,11,0,0,Эвертон , Вулверхэмптон,1,0,1
653,32,68,10,4,6,3,4,1,7,7,6,7,6,6,3,2,Кристал Пэлас , Арсенал,1,3,2
654,42,58,7,12,4,3,3,9,10,7,6,7,7,8,1,1,Бернли , Ливерпуль,0,3,2
655,52,48,9,18,4,9,5,9,8,11,6,8,10,8,2,1,Вест Бромвич , Вест Хэм,1,3,2
656,69,31,15,5,5,4,10,1,10,8,14,1,7,10,2,1,Ливерпуль , Кристал Пэлас,2,0,1
657,64,36,7,7,0,4,7,3,12,6,5,4,6,12,1,0,Фулхэм , Ньюкасл,0,2,2
658,53,47,12,4,5,1,7,3,10,8,11,3,8,10,2,1,Арсенал , Брайтон,2,0,1
659,29,71,6,18,3,7,3,11,11,12,2,9,12,11,0,2,Астон Вилла , Челси,2,1,1
660,64,36,12,11,9,5,3,6,12,12,8,3,11,12,3,3,Лидс , Вест Бромвич,3,1,1
661,47,53,8,6,6,4,2,2,9,8,8,7,7,8,3,1,Лестер , Тоттенхэм,2,4,2
662,67,33,17,5,11,3,6,2,8,10,7,5,10,8,1,1,Манчестер Сити , Эвертон,5,0,1
663,43,57,10,6,3,3,7,3,11,1,8,9,1,11,2,1,Шеффилд Юнайтед , Бернли,1,0,1
664,37,63,13,13,7,5,6,8,5,9,2,3,9,5,5,2,Вест Хэм , Саутгемптон,3,0,1
665,36,64,8,18,3,4,5,14,12,8,2,5,7,12,1,1,Брентфорд , Арсенал,2,0,1
666,49,51,13,9,8,3,5,6,11,9,5,4,9,10,2,3,Манчестер Юнайтед , Лидс,5,1,1
667,36,64,11,12,3,8,8,4,10,7,7,6,7,10,1,0,Бернли , Брайтон,1,2,2
668,61,39,11,3,6,1,5,2,15,11,5,2,11,14,0,1,Челси , Кристал Пэлас,3,0,1
669,38,62,11,8,7,2,4,6,18,13,2,4,13,18,0,2,Уотфорд , Астон Вилла,3,2,1
670,49,51,11,4,6,3,5,1,13,15,6,8,14,11,0,0,Эвертон , Саутгемптон,3,1,1
671,56,44,8,10,5,3,3,7,6,10,5,4,10,6,5,4,Лестер , Вулверхэмптон,1,0,1
672,50,50,11,15,3,8,8,7,4,14,3,11,14,3,2,0,Норвич , Ливерпуль,0,3,2
673,47,53,10,13,3,9,7,4,4,3,7,6,3,4,1,2,Ньюкасл , Вест Хэм,2,4,2
674,35,65,8,13,3,4,5,9,11,8,3,11,8,11,3,1,Тоттенхэм , Манчестер Сити,1,0,1
675,66,34,19,8,9,3,10,5,6,12,8,4,12,6,3,7,Ливерпуль , Бернли,2,0,1
676,48,52,9,8,2,1,7,7,8,18,3,4,16,8,3,2,Астон Вилла , Ньюкасл,2,0,1
677,52,48,7,10,2,3,5,7,12,9,3,5,8,10,1,2,Кристал Пэлас , Брентфорд,0,0,0
678,70,30,10,13,4,8,6,5,6,13,8,5,12,6,0,0,Лидс , Эвертон,2,2,0
679,66,34,10,1,4,0,6,1,13,7,6,1,6,13,2,3,Манчестер Сити , Норвич,5,0,1
680,56,44,8,6,3,1,5,5,11,6,7,2,6,11,1,1,Брайтон , Уотфорд,2,0,1
681,37,63,7,11,3,4,4,7,12,10,7,7,10,12,0,2,Саутгемптон , Манчестер Юнайтед,1,1,0
682,57,43,15,6,6,6,9,0,9,7,5,4,7,9,2,0,Вулверхэмптон , Тоттенхэм,0,1,2
